Clean_Name,corr_score_min,corr_score_mean,corr_score_var,data_points,UNS
18CR-4V-2NI- 12TI,0.7153382790366966,0.7153382790366966,0.0,1,
2 6CR-0 52MO,0.9832519361552844,0.9842703223524583,4.14844178637703e-06,4,
2 NI STEEL,0.9297594953039348,0.9513119247668779,0.0003517497353160515,3,K21703
20,0.9256982492930939,0.961510152444216,0.0005612886871661533,6,J95150
20 CAST ALLOYS ONLY,0.9639237112075716,0.9893636294946764,0.00028994323030369145,4,J95150
20 CB-3,0.4013869212466589,0.6060744953948412,0.03135989388716149,14,N08020
201,,,0.0,0,S20100
2014-T5,0.9714549827555224,0.9718386856106618,2.9445576208415345e-07,2,A92014
2014-T6,0.9997395692944301,0.9997395692944301,0.0,1,A92014
2024-T3,0.892399842751919,0.9780377179472785,0.0022919445229704037,5,A92024
2024-T81,0.9996961925422087,0.9996961925422087,0.0,1,A92024
2024-T86,0.9996528238877496,0.9996528238877496,0.0,1,A92024
2091-T8,0.9427755595944493,0.9580770199702968,0.00046826937926726614,2,A92091
20CB-3,0.43062255242977826,0.8839225091647781,0.029925614890457218,17,N08020
20MO-6,0.6476398521807291,0.8231703046940806,0.06162187951908395,2,N08026
21CR-4NI-0 5CU,0.9427755595944493,0.9427755595944493,0.0,1,
